iter	Passed	Remaining
0	0	885
1	1	874
2	2	840
3	3	825
4	4	839
5	5	865
6	6	868
7	7	931
8	8	910
9	8	889
10	9	869
11	10	865
12	11	856
13	12	849
14	12	840
15	13	840
16	14	844
17	15	846
18	16	838
19	16	828
20	17	823
21	18	820
22	19	819
23	20	818
24	20	814
25	21	810
26	22	813
27	23	814
28	24	817
29	25	817
30	26	814
31	26	810
32	27	809
33	28	807
34	29	804
35	29	801
36	30	796
37	31	795
38	32	797
39	33	797
40	34	796
41	34	794
42	35	792
43	36	791
44	37	790
45	37	787
46	38	786
47	39	783
48	40	781
49	41	782
50	42	782
51	43	788
52	44	786
53	44	784
54	45	783
55	46	781
56	47	779
57	47	777
58	48	775
59	49	773
60	50	775
61	51	777
62	52	785
63	53	782
64	54	780
65	55	778
66	55	776
67	56	775
68	57	773
69	58	770
70	58	770
71	59	771
72	60	773
73	61	772
74	62	770
75	63	769
76	64	769
77	65	769
78	65	768
79	66	766
80	67	765
81	68	764
82	68	759
83	69	758
84	70	757
85	71	757
86	72	756
87	72	755
88	73	755
89	74	754
90	75	756
91	76	756
92	77	756
93	78	755
94	79	754
95	80	753
96	80	752
97	81	751
98	82	751
99	83	750
100	84	749
101	85	748
102	85	748
103	86	747
104	87	747
105	88	747
106	89	750
107	90	749
108	91	748
109	92	747
110	93	746
111	93	744
112	94	743
113	95	742
114	96	743
115	97	741
116	97	739
117	98	738
118	99	736
119	100	735
120	101	734
121	101	731
122	102	729
123	103	728
124	103	727
125	104	727
126	105	726
127	106	725
128	107	723
129	107	721
130	108	718
131	109	717
132	109	715
133	110	713
134	110	711
135	111	708
136	112	706
137	112	704
138	113	703
139	114	702
140	115	701
141	115	697
142	116	695
143	116	694
144	117	693
145	118	691
146	118	690
147	119	688
148	120	686
149	120	684
150	121	682
151	122	680
152	122	680
153	123	679
154	124	677
155	125	676
156	125	674
157	126	672
158	126	671
159	127	669
160	128	667
161	128	665
162	129	663
163	129	662
164	130	660
165	131	658
166	132	658
167	132	657
168	133	655
169	134	654
170	134	652
171	135	651
172	135	650
173	136	648
174	137	647
175	137	645
176	138	643
177	139	642
178	139	640
179	140	639
180	141	638
181	141	637
182	142	635
183	143	634
184	143	633
185	144	631
186	145	630
187	145	629
188	146	628
189	147	626
190	147	625
191	148	624
192	148	622
193	149	621
194	150	620
195	151	620
196	151	618
197	152	617
198	153	616
199	153	614
200	154	613
201	154	611
202	155	610
203	156	609
204	156	607
205	157	606
206	157	605
207	158	604
208	159	604
209	160	603
210	161	602
211	161	601
212	162	600
213	163	598
214	163	597
215	164	596
216	165	595
217	165	594
218	166	592
219	166	591
220	167	590
221	168	590
222	169	589
223	169	588
224	170	587
225	171	586
226	171	585
227	172	584
228	173	582
229	173	581
230	174	581
231	175	580
232	176	579
233	176	578
234	177	578
235	178	577
236	179	578
237	180	577
238	180	576
239	181	575
240	182	574
241	183	573
242	183	572
243	184	571
244	185	570
245	186	570
246	186	570
247	187	569
248	188	569
249	189	568
250	190	567
251	190	566
252	191	566
253	192	565
254	193	564
255	193	563
256	194	562
257	195	561
258	196	561
259	196	560
260	197	559
261	198	558
262	199	558
263	199	557
264	200	556
265	201	555
266	201	554
267	202	553
268	203	552
269	204	552
270	205	551
271	205	551
272	206	550
273	207	549
274	207	548
275	208	547
276	209	546
277	210	545
278	210	544
279	211	543
280	212	542
281	212	541
282	213	540
283	214	540
284	215	539
285	216	539
286	216	538
287	217	537
288	218	536
289	218	535
290	219	534
291	220	533
292	220	532
293	221	531
294	222	530
295	222	530
296	223	529
297	224	528
298	225	527
299	225	526
300	226	525
301	226	524
302	227	523
303	228	522
304	228	521
305	229	520
306	230	519
307	230	518
308	231	518
309	232	517
310	233	516
311	233	515
312	234	514
313	235	513
314	235	512
315	236	512
316	237	511
317	237	510
318	238	509
319	239	508
320	239	507
321	240	506
322	241	505
323	242	505
324	242	504
325	243	503
326	244	502
327	244	501
328	245	500
329	246	499
330	246	498
331	247	497
332	248	496
333	248	495
334	249	495
335	250	494
336	250	493
337	251	492
338	252	491
339	252	490
340	253	489
341	254	488
342	254	487
343	255	487
344	256	486
345	256	485
346	257	484
347	258	483
348	258	482
349	259	481
350	260	481
351	261	480
352	261	479
353	262	478
354	262	477
355	263	476
356	264	475
357	264	475
358	265	474
359	266	473
360	266	472
361	267	471
362	268	470
363	269	470
364	269	469
365	270	468
366	271	467
367	271	466
368	272	465
369	272	464
370	273	463
371	274	463
372	275	462
373	276	462
374	277	461
375	278	461
376	279	461
377	280	460
378	280	460
379	281	459
380	282	458
381	282	457
382	283	456
383	284	455
384	284	455
385	285	454
386	286	453
387	286	452
388	287	451
389	288	451
390	289	450
391	289	449
392	290	448
393	291	448
394	292	447
395	292	446
396	293	446
397	294	445
398	295	444
399	295	443
400	296	443
401	297	442
402	298	441
403	298	440
404	299	439
405	299	438
406	300	438
407	301	437
408	302	436
409	302	435
410	303	434
411	304	434
412	304	433
413	305	432
414	306	432
415	307	431
416	308	430
417	308	429
418	309	429
419	310	428
420	310	427
421	311	426
422	312	425
423	312	424
424	313	424
425	314	423
426	315	422
427	315	421
428	316	421
429	317	420
430	318	419
431	318	419
